日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-02-06,'600152,维科精华,5.7,6.06,5.65,5.97,6.06,-0.36,-5.9406,1.5586,4574318,27125087.0,2511766257.9,1672916940.0
2018-02-05,'600152,维科精华,6.06,6.09,5.93,6.0,6.11,-0.05,-0.8183,0.8114,2381537,14372704.0,2670404126.82,1778574852.0
2018-02-02,'600152,维科精华,6.11,6.3,6.01,6.01,6.17,-0.06,-0.9724,2.8465,8354325,51394591.0,2692437164.17,1793249562.0
2018-02-01,'600152,维科精华,6.17,6.34,6.01,6.12,6.01,0.16,2.6622,3.3467,9822265,60589255.0,2718876808.99,1810859214.0
2018-01-31,'600152,维科精华,6.01,6.29,5.98,6.24,6.38,-0.37,-5.7994,3.9176,11497934,70330722.0,2648371089.47,1763900142.0
2018-01-30,'600152,维科精华,6.38,6.78,6.31,6.31,7.01,-0.63,-8.9872,5.6909,16702562,106805085.0,2811415565.86,1872492996.0
2018-01-29,'600152,维科精华,7.01,7.18,7.01,7.01,7.79,-0.78,-10.0128,2.0608,6048400,42498410.0,3089031836.47,2057394342.0
2018-01-26,'600152,维科精华,7.79,7.84,7.74,7.84,7.86,-0.07,-0.8906,0.7535,2211482,17228133.0,3432747219.13,2286319818.0
2018-01-25,'600152,维科精华,7.86,7.9,7.79,7.83,7.84,0.02,0.2551,0.8588,2520609,19809563.0,3463593471.42,2306864412.0
2018-01-24,'600152,维科精华,7.84,7.85,7.73,7.78,7.82,0.02,0.2558,0.8242,2419101,18874673.0,3454780256.48,2300994528.0
2018-01-23,'600152,维科精华,7.82,7.86,7.78,7.84,7.87,-0.05,-0.6353,0.7442,2184301,17074210.0,3445967041.54,2295124644.0
2018-01-22,'600152,维科精华,7.87,8.02,7.7,8.0,8.01,-0.14,-1.7478,1.5871,4658100,36387948.0,3468000078.89,2309799354.0
2018-01-19,'600152,维科精华,8.01,8.1,7.97,8.1,8.09,-0.08,-0.9889,1.2309,3612477,29005911.0,3529692583.47,2350888542.0
2018-01-18,'600152,维科精华,8.09,8.36,8.08,8.26,8.31,-0.22,-2.6474,1.7529,5144726,42050870.0,3564945443.23,2374368078.0
2018-01-17,'600152,维科精华,8.31,8.41,8.21,8.35,8.49,-0.18,-2.1201,1.9583,5747531,47695996.0,3661890807.57,2438936802.0
2018-01-16,'600152,维科精华,8.49,8.5,8.05,8.07,8.33,0.16,1.9208,3.8072,11173947,91818620.0,3741209742.03,2491765758.0
2018-01-15,'600152,维科精华,8.33,8.77,8.21,8.36,8.05,0.28,3.4783,6.4179,18836126,160453148.0,3670704022.51,2444806686.0
2018-01-12,'600152,维科精华,8.05,8.14,7.91,7.97,7.93,0.12,1.5132,1.2767,3746922,30141740.0,3547319013.35,2362628310.0
2018-01-11,'600152,维科精华,7.93,7.96,7.75,7.79,7.78,0.15,1.928,0.9079,2664700,20940488.0,3494439723.71,2327409006.0
2018-01-10,'600152,维科精华,7.78,8.04,7.73,8.02,8.02,-0.24,-2.9925,1.1555,3391250,26711633.0,3428340611.66,2283384876.0
2018-01-09,'600152,维科精华,8.02,8.07,7.96,8.0,8.03,-0.01,-0.1245,0.9339,2740800,21960245.0,3534099190.94,2353823484.0
2018-01-08,'600152,维科精华,8.03,8.1,7.95,8.07,8.1,-0.07,-0.8642,0.8071,2368700,18990464.0,3538505798.41,2356758426.0
2018-01-05,'600152,维科精华,8.1,8.14,8.01,8.1,8.13,-0.03,-0.369,1.2883,3781204,30456333.0,3569352050.7,2377303020.0
2018-01-04,'600152,维科精华,8.13,8.21,7.93,7.95,8.01,0.12,1.4981,1.9355,5680701,46010887.0,3582571873.11,2386107846.0
2018-01-03,'600152,维科精华,8.01,8.05,7.86,7.94,7.93,0.08,1.0088,1.2944,3799001,30288689.0,3529692583.47,2350888542.0
2018-01-02,'600152,维科精华,7.93,7.97,7.72,7.75,7.73,0.2,2.5873,1.5749,4622359,36424383.0,3494439723.71,2327409006.0
